Radius_km	Time_Myr	Dynamo_start_Myr	Dynamo_duration_Myr
471	1.9875709	4.8796992	17.347158
219	1.0246512	0	0
74	2.0722091	0	0
479	1.7146691	5.1469417	17.80196
184	0.95609552	0	0
451	0.7468527	5.0809269	15.454494
448	1.7207049	5.0710077	15.209302
41	0.74888867	0	0
353	1.5925202	4.8120289	8.0555601
436	0.92951751	5.0441656	14.22667
103	1.337046	0	0
429	0.26829505	5.0245442	13.662266
197	0.35595939	0	0
227	1.5573763	4.3538594	0.55075693
499	1.3266953	5.196744	19.5019
85	1.6967279	0	0
98	1.3708574	0	0
102	0.42427632	0	0
282	2.0689831	4.8643203	3.6240802
452	1.7795705	5.0779371	15.543141
178	1.4146402	0	0
207	0.21343629	0	0
365	0.96500415	4.8479023	8.8662014
152	0.08931379	0	0
220	0.98072994	0	0
149	1.1560445	0	0
138	1.9684826	0	0
388	1.5429274	4.9135704	10.50404
151	1.0079937	0	0
352	1.7768842	4.801105	7.9961782
108	1.6882293	0	0
253	1.6276904	4.4628067	2.2402725
